Instance,Number of customers,Number of vehicles,Vehicle capacity,Total demand,Greedy_Cost,Greedy_Time_s,DP_Cost,DP_Time_s,Floyd_Cost,Floyd_Time_s
1,10,1,10,~200,218,6.96E-06,82,2.72E-06,302,2.00E-06
2,10,1,20,~200,268,5.70E-06,127,7.46E-06,194,8.14E-07
3,10,1,30,~200,223,6.24E-06,220,1.77E-05,147,8.53E-07
4,10,1,40,~200,211,4.84E-06,194,1.71E-05,211,2.30E-07
5,20,1,10,~400,388,1.20E-05,239,4.05E-06,989,3.47E-06
6,20,1,20,~400,146,9.82E-06,131,1.38E-05,149,3.19E-06
7,20,1,30,~400,384,1.06E-05,238,1.04E-05,472,3.22E-06
8,50,1,10,~1000,1052,3.32E-05,525,1.14E-05,1814,2.19E-05
9,50,1,40,~1000,975,1.93E-05,884,1.41E-04,714,2.31E-05
10,100,1,20,~2000,2087,4.94E-05,1048,3.63E-05,2573,7.93E-05
